Carimbo de data/hora; VOCÊ ACEITARIA PARTICIPAR DA NOSSA PESQUISA ?;Idade;POSSUI ALGUMA DEFICIÊNCIA?;Reside em Coari?;Se a resposta for não, especificar cidade:;VOCÊ SE AUTODECLARA ; RENDA FAMILIAR MENSAL (A SOMA DE TODAS AS PESSOAS QUE RECEBEM E MORAM COM VOCÊ);QUANTAS PESSOAS, INCLUINDO VOCÊ, VIVEM DA RENDA MENSAL DE SUA FAMILÍA?;NÍVEL DE ESCOLARIDADE;QUAL A NATUREZA DA INSTITUIÇÃO EM QUE VOCÊ CURSOU O ENSINO FUNDAMENTAL E MÉDIO?;VOCÊ TEM INTERESSE EM CURSAR LICENCIATURA EM PEDAGOGIA? POR QUÊ?;SE A RESPOSTA ANTERIOR FOR SIM, QUAL O TURNO;VOCÊ TERIA INTERESSE EM OUTRO CURSO? QUAL?;COMO VOCÊ AVALIA A IMPLEMENTAÇÃO DO CURSO DE LICENCIATURA EM PEDAGOGIA NO ISB?;AS UNIVERSIDADES PARTICULARES OFERTAM CURSO DE PEDAGOGIA, O QUE TE IMPEDIU DE CURSAR?
3/8/2025 7:33:06;Sim;mais de 40 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;5 pessoas;Superior completo;Todas em instituição pública;Não! Já sou formado nesta área.;;Sim! Educação Física. ;Muito importante;As condições financeiras.
3/8/2025 7:43:18;Sim;mais de 40 anos;Não;Sim;;Branca;02 a 04 salários-mínimos;2 pessoas;Mestrado;Todas em instituição pública;Porque pedagógia alicerce do bom professor ;Matutino;Não ;Importante;Outros investimentos na minha educação 
3/8/2025 7:45:47;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Para crescer profissionalmente ;Noturno;Psicologia e educaçao especial;Muito importante;Questao finaceira
3/8/2025 8:01:14;Sim;mais de 40 anos;Não;Sim;;Preta;Menos de 02 salários-mínimos;4 pessoas;Mestrado;Todas em instituição pública;Acredito que o curso de psicologia seria melhor;Noturno;Odontologia ;Pouco relevante;Ofertam
3/8/2025 8:59:15;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;5 pessoas;Superior completo;Parte em instituição pública e parte privada;Nao;;Oratoria;Importante;
3/8/2025 8:59:49;Sim;mais de 40 anos;Não;Sim;;Parda;04 a 06 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Não tenho interesse ;;Biomedicina ;Importante;Srm interesse no curso 
3/8/2025 12:30:46;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Sim;Matutino;Sim . Farmácia ;Importante;No momento financeiro 
3/10/2025 13:46:18;Sim;entre 31 e 40 anos;Não;Sim;;Parda;04 a 06 salários-mínimos;4 pessoas;Doutorado;Todas em instituição pública;Não, pois não acho um curso atrativo.;;Psicologia, odontologia, farmácia.;Sem necessidade;Ofertam sim.
3/10/2025 17:03:32;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Não ;;;Pouco relevante;
3/10/2025 17:11:53;Sim;entre 25 e 30 anos;Não;Sim;;Preta;02 a 04 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Não, mas acho interessante que o curso venha para o instituto ;Diurno;;Muito importante;
3/10/2025 17:15:01;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Sou professor ;Noturno;Serviço social ;Importante;Esto cursando
3/10/2025 17:17:55;Sim;entre 25 e 30 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;1 pessoa;Superior incompleto;Todas em instituição pública;Por que eu quero atuar na educação e contribuir para a melhoraria da sociedade e desenvolver habilidades importantes;Noturno;Não ;Muito importante;Estou cursando atualmente pedagogia, só que está ficando cada vez mais caro.
